tconst	parentTconst	seasonNumber	episodeNumber
tt0073481	tt0298685	1	4
tt0088283	tt0806901	20	8
tt0088656	tt0088655	1	2
tt0088657	tt0088655	1	3
tt0090780	tt0190210	1	3
tt0094808	tt0882736	1	1
tt0095661	tt3782882	\N	\N
tt0095671	tt0095670	1	6
tt0095672	tt0095670	1	4
tt0095673	tt0095670	1	3
tt0095674	tt0095670	1	5
tt0095783	tt0297625	2	6
tt0096135	tt0297626	6	7
tt0096361	tt0158415	1	4
tt0096362	tt0158415	1	1
tt0096363	tt0158415	1	2
tt0096781	tt1615489	2	2
tt0096864	tt0096538	2	4
tt0097218	tt1685403	\N	\N
tt0097246	tt0806901	20	10
tt0097324	tt1342141	1	1
tt0097346	tt0297626	7	4
tt0097451	tt0099283	1	6
tt0097783	tt1685403	\N	\N
tt0097822	tt0297626	6	2
tt0097924	tt0095670	1	7
tt0097925	tt0095670	1	2
tt0098021	tt0297626	6	1
tt0098553	tt1342141	1	3
tt0098561	tt0313144	1	4
tt0098576	tt0158415	1	3
tt0098755	tt0133302	8	8
tt0099003	tt0297626	7	12
tt0099032	tt1049304	5	1
tt0099037	tt0176357	9	4
tt0099139	tt0313144	1	10
tt0099217	tt0098761	1	1
tt0099279	tt0297626	6	4
tt0099370	tt0098889	1	4
tt0099383	tt0099231	2	2
tt0099427	tt1342141	1	2
tt0099457	tt0809273	\N	\N
tt0099526	tt0046593	34	13
tt0099530	tt12606372	1	6
tt0099542	tt0098792	1	0
tt0099580	tt0098798	1	0
tt0099661	tt0985040	7	3
tt0099727	tt0159876	\N	\N
tt0099744	tt0809273	\N	\N
tt0099745	tt0809273	\N	\N
tt0099746	tt0809273	\N	\N
tt0099781	tt0176357	10	4
tt0099811	tt0086734	7	1
tt0099835	tt0313144	1	12
tt0099851	tt0176357	10	1
tt0099952	tt0297626	6	12
tt0099971	tt1049304	5	5
tt0099992	tt0297626	7	7
tt0100155	tt0167566	\N	\N
tt0100216	tt0094525	3	1
tt0100255	tt1049304	5	3
tt0100316	tt0098884	1	1
tt0100370	tt1634348	1	1
tt0100406	tt0099231	2	3
tt0100439	tt0166458	4	9
tt0100474	tt0167566	\N	\N
tt0100482	tt0167566	\N	\N
tt0100492	tt0806910	1	241
tt0100578	tt0176357	9	1
tt0100580	tt1601983	3	5
tt0100642	tt0297626	6	8
tt0100658	tt0166458	4	1
tt0100664	tt0815353	1	7
tt0100710	tt0098889	1	10
tt0100718	tt0098916	1	1
tt0100724	tt0297625	2	4
tt0100748	tt0806910	1	237
tt0100749	tt0806910	1	229
tt0100750	tt0806910	1	227
tt0100751	tt0806910	1	231
tt0100752	tt0806910	1	236
tt0100753	tt0806910	1	228
tt0100754	tt0806901	20	9
tt0100755	tt0806910	1	233
tt0100770	tt0297626	7	11
tt0100818	tt0167566	\N	\N
tt0100900	tt0364151	6	10
tt0100948	tt0176357	9	2
tt0100953	tt1615489	2	4
tt0101095	tt13031912	1	1
tt0101179	tt0401056	2	1
tt0101246	tt0297626	7	5
tt0101271	tt0297625	3	9
tt0101274	tt0346328	1	1
tt0101300	tt0297625	3	7
tt0101358	tt1049304	5	2
tt0101443	tt0806901	21	3
tt0101480	tt0139780	1	5
tt0101655	tt3687174	\N	\N
tt0101729	tt0094456	6	10
tt0101750	tt0298685	2	2
tt0101835	tt12606372	1	3
tt0101836	tt12606372	1	1
tt0101837	tt12606372	1	2
tt0101838	tt12606372	1	4
tt0101840	tt12606372	1	5
tt0101894	tt0297626	8	2
tt0101915	tt0159876	19	4
tt0101971	tt0176357	10	2
tt0101972	tt0297626	8	1
tt0102012	tt0297626	7	1
tt0102111	tt1615489	2	3
tt0102199	tt0199184	16	17
tt0102255	tt1634348	1	4
tt0102276	tt0297626	8	11
tt0102281	tt0297626	8	10
tt0102337	tt0159876	20	17
tt0102378	tt0167644	1	1
tt0102379	tt0167644	1	4
tt0102416	tt0098765	2	1
tt0102424	tt0166458	5	9
tt0102474	tt15175450	1	6
tt0102501	tt0106078	2	3
tt0102502	tt0106078	2	2
tt0102547	tt0889258	2	1
tt0102621	tt0101161	1	1
tt0102643	tt0101152	1	1
tt0102644	tt0159876	20	3
tt0102711	tt0297625	3	6
tt0102769	tt0889258	2	2
tt0102786	tt0135104	\N	\N
tt0102787	tt0135104	\N	\N
tt0102856	tt1226281	1	2
tt0102857	tt0846838	1	11
tt0102863	tt0297625	3	3
tt0102925	tt0939820	1	1
tt0103020	tt0096658	3	13
tt0103046	tt0806910	1	252
tt0103047	tt0806910	1	251
tt0103048	tt0806910	1	239
tt0103049	tt0806910	1	250
tt0103050	tt0806910	1	234
tt0103051	tt0806910	1	247
tt0103052	tt0806910	1	246
tt0103053	tt0806910	1	249
tt0103054	tt0806910	1	240
tt0103062	tt0297625	3	2
tt0103071	tt0806901	21	9
tt0103145	tt0985040	9	2
tt0103149	tt0806910	1	243
