tconst	ordering	nconst	category	job	characters
tt29644530	10	nm2807502	cinematographer	\N	\N
tt29644530	1	nm0438689	actress	\N	["Hadoula 'Frangoyannou'"]
tt29644530	2	nm0698867	actress	\N	["Delcharo (Hadoula's mother)"]
tt29644530	3	nm3404155	actress	\N	["Amersa"]
tt29644530	4	nm5236473	actress	\N	["Delhcaro (Hadoula's daughter)"]
tt29644530	5	nm1459616	director	\N	\N
tt29644530	6	nm0067126	writer	\N	\N
tt29644530	7	nm0483440	producer	producer	\N
tt29644530	8	nm0759840	producer	producer	\N
tt29644530	9	nm0660169	composer	\N	\N
